symbol,year,trades,win_rate(%),avg_R
ZECUSDT,2021,98,25.51,0.169
ZECUSDT,2022,93,25.81,0.167
ZECUSDT,2023,75,37.33,0.683
ZECUSDT,2024,88,31.82,0.47
XMRUSDT,2021,105,25.71,0.163
XMRUSDT,2022,117,23.93,0.038
XMRUSDT,2023,66,34.85,0.442
XMRUSDT,2024,108,35.19,0.569
SOLUSDT,2021,139,26.62,0.25
SOLUSDT,2022,92,27.17,0.258
SOLUSDT,2023,98,25.51,0.131
SOLUSDT,2024,101,27.72,0.217
DOGEUSDT,2021,83,22.89,0.063
DOGEUSDT,2022,110,30.0,0.378
DOGEUSDT,2023,65,27.69,0.219
DOGEUSDT,2024,93,29.03,0.33
XLMUSDT,2021,100,25.0,0.14
XLMUSDT,2022,120,29.17,0.301
XLMUSDT,2023,78,28.21,0.166
XLMUSDT,2024,107,28.04,0.177
ADAUSDT,2021,96,26.04,0.199
ADAUSDT,2022,110,28.18,0.278
ADAUSDT,2023,69,28.99,0.287
ADAUSDT,2024,103,23.3,0.009
